,City,Lat,Lng,Max Temp,Humidty,Cloudiness,Wind Speed,Country,Date
210,koster,-25.863,26.8976,286.13,59,0,2.74,ZA,1614643524
211,skeldon,5.8833,-57.1333,296.33,90,12,2.53,GY,1614643525
212,bay roberts,47.5999,-53.2648,272.59,89,67,0.89,CA,1614643525
213,ketchikan,55.3422,-131.6461,276.15,81,90,3.09,US,1614643525
214,lake havasu city,34.4839,-114.3224,293.15,6,1,2.06,US,1614643525
215,gat,31.61,34.7642,285.37,100,2,3.08,IL,1614643325
216,ugoofaaru,5.6667,73.0,301.06,65,32,4.62,MV,1614643526
217,morant bay,17.8815,-76.4093,300.15,78,20,8.23,JM,1614643526
218,la asuncion,11.0333,-63.8628,296.31,80,0,5.23,VE,1614643502
219,mount gambier,-37.8333,140.7667,288.15,51,90,7.2,AU,1614643526
220,turukhansk,65.8167,87.9833,238.44,84,33,3.77,RU,1614643527
221,sindor,62.8629,51.8905,269.01,98,100,2.86,RU,1614643527
222,santa cruz,-17.8,-63.1667,304.15,51,19,1.54,BO,1614643527
223,teya,60.3778,92.6267,240.91,82,8,0.91,RU,1614643527
224,dunedin,-45.8742,170.5036,290.93,85,26,10.28,NZ,1614643365
225,sao joao da barra,-21.6403,-41.0511,297.81,88,73,4.13,BR,1614643528
226,vyazemskiy,47.5378,134.7525,254.5,88,25,2.15,RU,1614643276
227,hirara,24.8,125.2833,293.15,94,75,7.72,JP,1614643528
228,galesong,-5.3166,119.3661,298.15,100,20,1.54,ID,1614643316
229,arrifes,37.7667,-25.7,284.15,82,75,1.03,PT,1614643529
230,lompoc,34.6391,-120.4579,293.15,15,1,3.09,US,1614643529
231,leningradskiy,69.3833,178.4167,245.39,85,98,1.83,RU,1614643530
232,byron bay,-28.65,153.6167,300.37,69,0,0.51,AU,1614643014
233,poopo,-18.3667,-66.9667,283.4,66,46,4.5,BO,1614643530
234,rietavas,55.7194,21.9311,276.15,93,20,2.57,LT,1614643531
235,buta,2.7858,24.73,295.38,34,3,0.37,CD,1614643531
236,alekseyevka,50.6309,38.6903,272.58,94,86,5.47,RU,1614643532
237,asfi,32.2994,-9.2372,287.65,82,0,2.24,MA,1614643532
238,vangaindrano,-23.35,47.6,297.38,85,100,0.26,MG,1614643532
239,avera,33.194,-82.5271,291.15,68,90,3.6,US,1614643532
240,naze,28.3667,129.4833,290.15,94,75,5.66,JP,1614643533
241,bathsheba,13.2167,-59.5167,298.15,61,20,7.2,BB,1614643533
242,flinders,-34.5833,150.8552,290.37,84,89,0.45,AU,1614643533
243,ngudu,-2.9667,33.3333,291.86,90,96,2.4,TZ,1614643444
244,saint-augustin,51.226,-58.6502,270.31,97,100,5.25,CA,1614643533
245,victoria,22.2855,114.1577,293.15,79,84,0.45,HK,1614643320
246,bam,29.106,58.357,287.13,36,11,0.99,IR,1614643534
247,longyearbyen,78.2186,15.6401,267.15,68,75,3.09,SJ,1614643534
